29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (0xba187f0)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (0xba18940)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (0xba18a90)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (0xba18be0)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (0xba18d30)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (0xba18f88)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (0xba190d8)
29/05/2014 02:35:43 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
29/05/2014 02:35:43 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (0xba19228)
29/05/2014 02:35:43 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
29/05/2014 02:35:43 (Std) 	CEGUI::System singleton created. (0xba11510)
29/05/2014 02:35:43 (Std) 	---- CEGUI System initialisation completed ----
29/05/2014 02:35:43 (Std) 	
29/05/2014 02:35:43 (Std) 	Started creation of Scheme from XML specification:
29/05/2014 02:35:43 (Std) 	---- CEGUI GUIScheme name: TaharezLook
29/05/2014 02:35:43 (Std) 	Started creation of Imageset from XML specification:
29/05/2014 02:35:43 (Std) 	---- CEGUI Imageset name: TaharezLook
29/05/2014 02:35:43 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
29/05/2014 02:35:43 (Std) 	Started creation of Font from XML specification:
29/05/2014 02:35:43 (Std) 	---- CEGUI font name: DejaVuSans-10
29/05/2014 02:35:43 (Std) 	----       Font type: FreeType
29/05/2014 02:35:43 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
29/05/2014 02:35:43 (Std) 	---- Real point size: 10
29/05/2014 02:35:43 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
29/05/2014 02:35:43 (Std) 	===== Look and feel parsing completed =====
29/05/2014 02:35:43 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Button' added. (0xbcb9ad0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Default' added. (0xbc1d8b8)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (0xbccc898)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (0xbcd33e8)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0xbaaa270)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (0xbca85e0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0xbca51f0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (0xbcc6948)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (0xbcc69e8)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (0xba949c8)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (0xbc1dc88)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (0xba94a68)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (0xbcc7210)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (0xbcd2958)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (0xbcd2c78)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (0xbcd2dc8)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (0xbc1c7f0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Static' added. (0xbc1c940)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (0xbc1ca90)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (0xbc1cbe0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (0xbc1cd30)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (0xbc1ce80)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (0xbc1cfd0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (0xbc1d120)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (0xbc1d270)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (0xbc1d3c0)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (0xbc1d510)
29/05/2014 02:35:43 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
29/05/2014 02:35:43 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (0xba4cc60)
29/05/2014 02:35:43 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0xbfd0da4c)
29/05/2014 02:35:43 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (0xbfd0da4c)
29/05/2014 02:35:43 (Std) 	Creating falagard mapping for type 'TaharezLook/ImageButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/ImageButton' and RenderEffect ''. (0xbfd0da4c)
29/05/2014 02:35:43 (Std) 	Creating falagard mapping for type 'TaharezLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/RadioButton' and RenderEffect ''. (0xbfd0da4c)
